CategoryGroupName              CategoryName                           KeywordText  CategoryGroupId                       KeywordReportId

Species              Dog                     dog jackets      4D8A2E9D-17D8-4B1E-A971-9F67011ABDAF                             FD58E50D-8B4D-42C2-9FF0-9F67011AA688

Species              Dog                     dry dog foods 4D8A2E9D-17D8-4B1E-A971-9F67011ABDAF                             FD58E50D-8B4D-42C2-9FF0-9F67011AA688

Species              Dog                     cheapest dog food                    4D8A2E9D-17D8-4B1E-A971-9F67011ABDAF                             FD58E50D-8B4D-42C2-9FF0-9F67011AA688

Species              Dog                     lamb and rice dog food            4D8A2E9D-17D8-4B1E-A971-9F67011ABDAF                             FD58E50D-8B4D-42C2-9FF0-9F67011AA688

Species              Dog                     product for dogs                        4D8A2E9D-17D8-4B1E-A971-9F67011ABDAF                             FD58E50D-8B4D-42C2-9FF0-9F67011AA688

Species              Dog                     low sodium dog food               4D8A2E9D-17D8-4B1E-A971-9F67011ABDAF                             FD58E50D-8B4D-42C2-9FF0-9F67011AA688

Species              Dog                     merrick dog food                       4D8A2E9D-17D8-4B1E-A971-9F67011ABDAF                             FD58E50D-8B4D-42C2-9FF0-9F67011AA688

Species              Dog                     best quality dog food               4D8A2E9D-17D8-4B1E-A971-9F67011ABDAF                             FD58E50D-8B4D-42C2-9FF0-9F67011AA688

Species              Dog                     dog cages         4D8A2E9D-17D8-4B1E-A971-9F67011ABDAF                             FD58E50D-8B4D-42C2-9FF0-9F67011AA688

Species              Dog                     canned dog food                        4D8A2E9D-17D8-4B1E-A971-9F67011ABDAF                             FD58E50D-8B4D-42C2-9FF0-9F67011AA688

Species              Dog                     orijen puppy food                     4D8A2E9D-17D8-4B1E-A971-9F67011ABDAF                             FD58E50D-8B4D-42C2-9FF0-9F67011AA688

Species              Dog                     natural food for dog                 4D8A2E9D-17D8-4B1E-A971-9F67011ABDAF                             FD58E50D-8B4D-42C2-9FF0-9F67011AA688

Species              Dog                     dog beds          4D8A2E9D-17D8-4B1E-A971-9F67011ABDAF                             FD58E50D-8B4D-42C2-9FF0-9F67011AA688

Species              Dog                     pet dog stores                             4D8A2E9D-17D8-4B1E-A971-9F67011ABDAF                             FD58E50D-8B4D-42C2-9FF0-9F67011AA688

Species              Dog                     dog feeders    4D8A2E9D-17D8-4B1E-A971-9F67011ABDAF                             FD58E50D-8B4D-42C2-9FF0-9F67011AA688

Species              Dog                     dog food review                         4D8A2E9D-17D8-4B1E-A971-9F67011ABDAF                             FD58E50D-8B4D-42C2-9FF0-9F67011AA688

Species              Dog                     food puppy     4D8A2E9D-17D8-4B1E-A971-9F67011ABDAF                             FD58E50D-8B4D-42C2-9FF0-9F67011AA688

Species              Dog                     free dog food 4D8A2E9D-17D8-4B1E-A971-9F67011ABDAF                             FD58E50D-8B4D-42C2-9FF0-9F67011AA688

Species              Dog                     dog biscuits     4D8A2E9D-17D8-4B1E-A971-9F67011ABDAF                             FD58E50D-8B4D-42C2-9FF0-9F67011AA688

Species              Dog                     discount dog supplies              4D8A2E9D-17D8-4B1E-A971-9F67011ABDAF                             FD58E50D-8B4D-42C2-9FF0-9F67011AA688

Species              Dog                     compare dog food                     4D8A2E9D-17D8-4B1E-A971-9F67011ABDAF                             FD58E50D-8B4D-42C2-9FF0-9F67011AA688

